family,name,lat,lon
canyon,Grand Canyon Colorado,36.10,-112.10
canyon,Colca Canyon,-15.61,-71.99
canyon,Fish River Canyon,-27.59,17.59
canyon,Blyde River Canyon,-24.57,30.79
canyon,Copper Canyon,27.51,-107.83
gorge,Verdon Gorge,43.76,6.36
gorge,Tara Gorge,43.15,19.30
gorge,Tiger Leaping Gorge,27.18,100.11
gorge,Katherine Gorge,-14.32,132.42
gorge,Todgha Gorge,31.59,-5.60
delta,Mississippi birdfoot,29.17,-89.25
delta,Danube delta,45.19,29.35
delta,Okavango delta,-19.30,22.85
delta,Lena delta,72.35,126.70
delta,Godavari delta,16.61,82.18
braided,Waimakariri River,-43.38,172.27
braided,Tagliamento River,46.16,12.98
braided,Toklat River,63.53,-150.06
braided,Brahmaputra near Majuli,26.96,94.17
braided,Skeidara outwash,63.92,-17.07
meander,Goosenecks San Juan,37.17,-109.93
meander,Mamore River,-14.56,-64.93
meander,Uvac River,43.36,19.95
meander,Kinabatangan River,5.49,118.30
meander,Lower Mississippi oxbows,33.36,-91.13
fan,Death Valley Badwater fan,36.22,-116.77
fan,Taklimakan Kunlun fan,37.49,84.05
fan,Atacama fan,-23.70,-69.20
fan,Kosi fan,26.48,86.93
fan,Roaring River fan,40.42,-105.63
caldera,Crater Lake,42.94,-122.11
caldera,Ngorongoro,-3.18,35.57
caldera,Sete Cidades,37.86,-25.78
caldera,Lake Toba,2.62,98.85
caldera,Aso caldera,32.90,131.06
cone,Mount Fuji,35.36,138.73
cone,Mount Taranaki,-39.30,174.06
cone,Paricutin,19.49,-102.25
cone,Mount Etna,37.75,15.00
cone,Mount Mayon,13.25,123.69
mesa,Monument Valley,36.99,-110.10
mesa,Capitol Reef,38.28,-111.25
mesa,Bungle Bungle,-17.45,128.40
mesa,Mount Roraima,5.14,-60.76
mesa,Ennedi plateau,17.11,21.80
badlands,Badlands National Park,43.75,-102.49
badlands,Bardenas Reales,42.20,-1.48
badlands,Drumheller,51.47,-112.72
badlands,Painted Desert,35.04,-109.79
badlands,Las Medulas,42.46,-6.77
karst,Li River Yangshuo,24.93,110.50
karst,Phong Nha,17.56,106.27
karst,Chocolate Hills,9.82,124.15
karst,Dinaric karst Plitvice,44.88,15.61
karst,Tsingy Bemaraha,-18.95,44.80
fjord,Geirangerfjord,62.10,7.10
fjord,Milford Sound,-44.62,167.89
fjord,Kenai Aialik Bay,59.94,-149.72
fjord,Chilean Aysen fjord,-45.40,-73.30
fjord,Ilulissat icefjord,69.16,-50.90
glacial,Yosemite Valley,37.74,-119.59
glacial,Lauterbrunnen,46.57,7.91
glacial,Glencoe,56.67,-5.04
glacial,Torres del Paine,-50.99,-73.01
glacial,Aoraki Hooker Valley,-43.72,170.10
escarpment,Drakensberg Amphitheatre,-28.75,28.90
escarpment,Bandiagara,14.33,-3.41
escarpment,Blue Mountains Jamison,-33.75,150.31
escarpment,Niagara escarpment Hamilton,43.23,-79.91
escarpment,Western Ghats Mahabaleshwar,17.93,73.66
plateau,Colorado Plateau,38.45,-110.20
plateau,Tibetan Plateau,32.00,90.00
plateau,Deccan Plateau,18.00,75.00
plateau,Ethiopian Highlands,11.85,38.10
plateau,Altiplano,-18.50,-68.50
lakes,English Lake District,54.57,-3.13
lakes,Finnish Saimaa,61.82,28.50
lakes,Canadian Shield Temagami,47.06,-79.89
lakes,Mazurian lakes,53.77,21.58
lakes,Patagonian Nahuel Huapi,-41.03,-71.52
confluence,Green and Colorado,38.19,-109.89
confluence,Rio Negro and Solimoes,-3.13,-59.90
confluence,Rhine and Moselle,50.36,7.60
confluence,Alaknanda and Bhagirathi,30.15,78.60
confluence,Kawarau and Shotover,-45.03,168.74
falls,Victoria Falls,-17.93,25.86
falls,Iguazu Falls,-25.69,-54.44
falls,Niagara Falls,43.08,-79.07
falls,Gullfoss,64.33,-20.12
falls,Kaieteur Falls,5.18,-59.48
coast,Cliffs of Moher,52.97,-9.43
coast,Twelve Apostles,-38.66,143.10
coast,Na Pali coast,22.17,-159.65
coast,Etretat cliffs,49.71,0.20
coast,Cape of Good Hope,-34.35,18.49
archipelago,Stockholm archipelago,59.34,18.78
archipelago,Thousand Islands Saint Lawrence,44.35,-76.01
archipelago,Lofoten,68.21,13.62
archipelago,Raja Ampat,-0.24,130.59
archipelago,Dalmatian Kornati,43.82,15.30
