runtime,theme,size,seed,variant,days,cpu_ms,wall_ms
node,canyon,128,1,baseline,73,11280,11638.26699999813
node,canyon,128,1,water-sparse,73,10145,10703.3125
node,canyon,128,1,soil-cache,73,10358,10807.79779999936
node,canyon,128,1,soil-saturation,73,12173,12695.492300001672
node,canyon,128,1,water-wasm,73,9273,10487.14560000063
node,canyon,128,1,combined,73,9259,9773.988199999323
node,canyon,128,10,baseline,73,11078,11935.0839999991
node,canyon,128,10,water-sparse,73,10362,11022.80520000006
node,canyon,128,10,soil-cache,73,10566,11430.76880000066
node,canyon,128,10,soil-saturation,73,12033,12781.377299999585
node,canyon,128,10,water-wasm,73,9128,9658.852699998533
node,canyon,128,10,combined,73,9059,9842.325100001646
node,canyon,128,11,baseline,73,10950,12057.898100001272
node,canyon,128,11,water-sparse,73,9751,10649.098800000502
node,canyon,128,11,soil-cache,73,9813,10658.212700001895
node,canyon,128,11,soil-saturation,73,11644,12250.451499999734
node,canyon,128,11,water-wasm,73,9155,10014.485200000461
node,canyon,128,11,combined,73,9088,9744.877199999522
node,canyon,128,12,baseline,73,10814,11746.217000000877
node,canyon,128,12,water-sparse,73,9518,13157.177499998594
node,canyon,128,12,soil-cache,73,10205,14020.678099999903
node,canyon,128,12,soil-saturation,73,11707,15712.506000001682
node,canyon,128,12,water-wasm,73,9016,11103.653799999505
node,canyon,128,12,combined,73,8879,9499.105700000422
node,canyon,128,13,baseline,73,11625,14324.85719999997
node,canyon,128,13,water-sparse,73,11144,14072.9020999996
node,canyon,128,13,soil-cache,73,11042,13095.307100001257
node,canyon,128,13,soil-saturation,73,12717,15089.565499998396
node,canyon,128,13,water-wasm,73,9543,11157.649500000523
node,canyon,128,13,combined,73,9687,11761.87809999939
node,canyon,128,14,baseline,73,11107,14548.204300000798
node,canyon,128,14,water-sparse,73,10424,13570.647900000215
node,canyon,128,14,soil-cache,73,10328,11651.254199999385
node,canyon,128,14,soil-saturation,73,11810,13992.018300000811
node,canyon,128,14,water-wasm,73,9014,10766.491399999475
node,canyon,128,14,combined,73,8952,10367.163800000213
node,canyon,128,15,baseline,73,11547,14329.005300001241
node,canyon,128,15,water-sparse,73,10698,12794.367199998815
node,canyon,128,15,soil-cache,73,11075,13262.937900000717
node,canyon,128,15,soil-saturation,73,12064,14533.70830000122
node,canyon,128,15,water-wasm,73,10204,13422.593400000595
node,canyon,128,15,combined,73,9425,11886.029399998719
node,canyon,128,16,baseline,73,11312,13873.710499999812
node,canyon,128,16,water-sparse,73,10533,12039.332799999975
node,canyon,128,16,soil-cache,73,11154,12602.130199999548
node,canyon,128,16,soil-saturation,73,12280,13772.216299999505
node,canyon,128,16,water-wasm,73,9452,11105.624899998074
node,canyon,128,16,combined,73,9640,10669.562899999786
node,canyon,128,17,baseline,73,10217,10869.611999999732
node,canyon,128,17,water-sparse,73,9419,10264.016900000395
node,canyon,128,17,soil-cache,73,9657,10418.383499998134
node,canyon,128,17,soil-saturation,73,10686,11724.576500000432
node,canyon,128,17,water-wasm,73,8656,9378.76930000051
node,canyon,128,17,combined,73,8344,9207.886499999324
node,canyon,128,18,baseline,73,10673,11345.536699999822
node,canyon,128,18,water-sparse,73,10277,11119.75640000077
node,canyon,128,18,soil-cache,73,10565,11352.333400000352
node,canyon,128,18,soil-saturation,73,11656,12941.308799999999
node,canyon,128,18,water-wasm,73,9130,10050.547100001015
node,canyon,128,18,combined,73,8875,9639.775500000454
node,canyon,128,19,baseline,73,10953,12052.693799998844
node,canyon,128,19,water-sparse,73,10298,11112.424799999455
node,canyon,128,19,soil-cache,73,10158,11024.164999999804
node,canyon,128,19,soil-saturation,73,11970,12795.28209999972
node,canyon,128,19,water-wasm,73,9094,9864.214400001103
node,canyon,128,19,combined,73,8981,9637.78379999823
node,canyon,128,2,baseline,73,10109,10751.789499999955
node,canyon,128,2,water-sparse,73,9518,9916.636899998877
node,canyon,128,2,soil-cache,73,9736,10106.271799999755
node,canyon,128,2,soil-saturation,73,11187,11913.847800000338
node,canyon,128,2,water-wasm,73,8813,9194.462800000561
node,canyon,128,2,combined,73,8482,8694.78659999976
node,canyon,128,20,baseline,73,10782,12568.195800001035
node,canyon,128,20,water-sparse,73,9959,11107.814500001026
node,canyon,128,20,soil-cache,73,10106,10729.41560000158
node,canyon,128,20,soil-saturation,73,11362,12623.65169999795
node,canyon,128,20,water-wasm,73,8808,9630.964400001569
node,canyon,128,20,combined,73,8486,9370.13540000096
node,canyon,128,21,baseline,73,11387,12707.773099999176
node,canyon,128,21,water-sparse,73,10824,11514.809099999955
node,canyon,128,21,soil-cache,73,10742,11261.125799999572
node,canyon,128,21,soil-saturation,73,11830,12959.183799997903
node,canyon,128,21,water-wasm,73,9580,10140.527199998964
node,canyon,128,21,combined,73,9358,10050.133199999575
node,canyon,128,22,baseline,73,10701,11672.313500000397
node,canyon,128,22,water-sparse,73,9924,10551.025300001493
node,canyon,128,22,soil-cache,73,10611,11197.975799999898
node,canyon,128,22,soil-saturation,73,12185,13145.217900000978
node,canyon,128,22,water-wasm,73,9329,9872.618099999381
node,canyon,128,22,combined,73,9485,10220.763299999526
node,canyon,128,23,baseline,73,10013,10994.140700000571
node,canyon,128,23,water-sparse,73,9050,9759.630299998214
node,canyon,128,23,soil-cache,73,9515,10232.109499999322
node,canyon,128,23,soil-saturation,73,10437,11043.747299999697
node,canyon,128,23,water-wasm,73,8251,8679.058199998457
node,canyon,128,23,combined,73,8593,9119.895900000585
node,canyon,128,24,baseline,73,10656,11817.936599999666
node,canyon,128,24,water-sparse,73,9691,10729.821600000374
node,canyon,128,24,soil-cache,73,10670,11521.316000000807
node,canyon,128,24,soil-saturation,73,12127,13408.672599999933
node,canyon,128,24,water-wasm,73,8936,9882.81400000141
node,canyon,128,24,combined,73,9064,9911.023300000932
node,canyon,128,25,baseline,73,10796,11517.193099999102
node,canyon,128,25,water-sparse,73,9968,10463.57880000025
node,canyon,128,25,soil-cache,73,10327,11037.93589999876
node,canyon,128,25,soil-saturation,73,11815,12619.725900001591
node,canyon,128,25,water-wasm,73,8800,9141.437299999874
node,canyon,128,25,combined,73,8862,9240.58239999949
node,canyon,128,26,baseline,73,11661,12255.587699997937
node,canyon,128,26,water-sparse,73,10623,11313.728400001768
node,canyon,128,26,soil-cache,73,11126,11740.338800000027
node,canyon,128,26,soil-saturation,73,12441,12826.270600001328
node,canyon,128,26,water-wasm,73,9873,10530.274199999636
node,canyon,128,26,combined,73,9189,9754.499399998691
node,canyon,128,27,baseline,73,10107,10701.526800000342
node,canyon,128,27,water-sparse,73,8980,9467.356000000611
node,canyon,128,27,soil-cache,73,10146,11154.639300000854
node,canyon,128,27,soil-saturation,73,11547,12236.815600000322
node,canyon,128,27,water-wasm,73,8611,9059.39349999954
node,canyon,128,27,combined,73,8139,8807.326199998846
node,canyon,128,28,baseline,73,10923,11649.79979999899
node,canyon,128,28,water-sparse,73,10202,14563.731299999403
node,canyon,128,28,soil-cache,73,10190,12138.927699999651
node,canyon,128,28,soil-saturation,73,11706,12508.82269999967
node,canyon,128,28,water-wasm,73,8844,9774.378799999366
node,canyon,128,28,combined,73,8828,9387.367000000784
node,canyon,128,29,baseline,73,10220,11516.198600001168
node,canyon,128,29,water-sparse,73,9780,10904.27320000017
node,canyon,128,29,soil-cache,73,9847,11299.657599998172
node,canyon,128,29,soil-saturation,73,11438,12943.900000000838
node,canyon,128,29,water-wasm,73,8544,9894.416799999075
node,canyon,128,29,combined,73,9013,10172.148600000422
node,canyon,128,3,baseline,73,10873,11328.313399998238
node,canyon,128,3,water-sparse,73,9942,10309.0718999987
node,canyon,128,3,soil-cache,73,10406,10599.780899999198
node,canyon,128,3,soil-saturation,73,11904,12462.21380000026
node,canyon,128,3,water-wasm,73,9284,9611.821799999801
node,canyon,128,3,combined,73,9013,9389.14419999905
node,canyon,128,30,baseline,73,11447,12897.064099998912
node,canyon,128,30,water-sparse,73,10425,11986.586300000316
node,canyon,128,30,soil-cache,73,11063,12578.310099999653
node,canyon,128,30,soil-saturation,73,12877,14453.520100000082
node,canyon,128,30,water-wasm,73,9611,11185.161900003674
node,canyon,128,30,combined,73,9849,11310.876500001177
node,canyon,128,4,baseline,73,10654,11215.4729000011
node,canyon,128,4,water-sparse,73,9672,10028.499700000277
node,canyon,128,4,soil-cache,73,10184,10675.725500000874
node,canyon,128,4,soil-saturation,73,11626,12034.732100001536
node,canyon,128,4,water-wasm,73,8593,9040.882800001651
node,canyon,128,4,combined,73,8893,9636.341299999738
node,canyon,128,5,baseline,73,11048,11393.340100001311
node,canyon,128,5,water-sparse,73,10671,10894.639900000766
node,canyon,128,5,soil-cache,73,10626,11040.695300000487
node,canyon,128,5,soil-saturation,73,12145,12636.200299998047
node,canyon,128,5,water-wasm,73,9457,10143.666099999798
node,canyon,128,5,combined,73,9220,9690.078299999703
node,canyon,128,6,baseline,73,11816,12093.846700000344
node,canyon,128,6,water-sparse,73,10827,11325.111700001871
node,canyon,128,6,soil-cache,73,11000,11356.303199999966
node,canyon,128,6,soil-saturation,73,12464,13365.490199999418
node,canyon,128,6,water-wasm,73,10000,10596.877499998547
node,canyon,128,6,combined,73,9763,10111.884700000985
node,canyon,128,7,baseline,73,11559,11988.471500000684
node,canyon,128,7,water-sparse,73,10534,11247.268699998735
node,canyon,128,7,soil-cache,73,10907,11298.588100000052
node,canyon,128,7,soil-saturation,73,12221,13001.379199998453
node,canyon,128,7,water-wasm,73,9471,9861.71370000206
node,canyon,128,7,combined,73,9575,9997.777999999234
node,canyon,128,8,baseline,73,11096,11756.67240000097
